Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~GuitarPedal.PrjPcb|ReportField=ProjectFullPath~C:\Users\arman\Documents\ETF\PMBS\Altium\GuitarPedal\GuitarPedal.PrjPcb|ReportField=Title~Bill of Materials For Project [GuitarPedal.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~45|ReportField=ReportTime~13:23:14|ReportField=ReportDate~18/10/2019|ReportField=ReportDateTime~18/10/2019 13:23:14|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~18/10/2019|ReportField=CurrentTime~12:16:27|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\arman\Documents\ETF\PMBS\Altium\GuitarPedal\GuitarPedal.SchDoc|ReportField=DocumentName~GuitarPedal.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~Arman Hasanbegovic|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~17/10/2019|ReportField=Organization~|ReportField=ProjectName~GuitarPedal.PrjPcb|ReportField=Revision~1|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~Guitar Pedal|ReportField=DataSourceFileName~GuitarPedal.PrjPcb|ReportField=DataSourceFullPath~C:\Users\arman\Documents\ETF\PMBS\Altium\GuitarPedal\GuitarPedal.PrjPcb|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|Cap|Capacitor|C4, C5, C7, C8|RAD-0.3|Cap|4
2|Cap Pol1|Polarized Capacitor (Radial)|C1, C2, C3, C6, C9|RB7.6-15|Cap Pol1|5
3|IN-PORT, OUT-PORT, LED-PORT, 2PDT-PORT, VOLT-PORT, RB8-PORT, STEREO-PORT1, STEREO-PORT2|Header, 2-Pin|P1, P2, P3, P4, P6, P8, P11, P12|HDR1X2|Header 2|8
4|MCLR-PORT, AN11-PORT|Header, 3-Pin|P9, P10|HDR1X3|Header 3|2
5|PROG-PORT|Header, 5-Pin|P7|HDR1X5|Header 5|1
6|3PDT-PORT|Header, 9-Pin|P5|HDR1X9|Header 9|1
7|DSPIC-1-20, DSPIC-21-40, DSPIC-41-60, DSPIC-61-80|Header, 10-Pin, Dual row|P13, P14, P15, P16|HDR2X10|Header 10X2|4
8|LM324N|Ic Opamp Gp 1.2mhz 14dip|U1|*DIP254P762X508-14|LM324N|1
9|LM7805CT/NOPB|IC REG LINEAR 5V 1A TO220AB|Q1|*TO254P1054X470X2600-3|LM7805CT/NOPB|1
10|MCP4921-E/P|MCP4921 Series 1 Ch 12-Bit Voltage Output Digital-to-Analog Converter-PDIP-8|U2|*DIP254P762X432-8|MCP4921-E/P|1
11|Res1|Resistor|R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17|AXIAL-0.3|Res1|17
